word,freq,plural,pastTense,isName
which,0.002061152,0,0,0
their,0.002028576,0,0,0
there,0.001763988,0,0,0
would,0.0017049320000000004,0,0,0
about,0.001446756,0,0,0
could,0.001276894,0,0,0
other,0.0012753340000000001,0,0,0
these,0.0010919380000000002,0,0,0
first,0.0008822656,0,0,0
after,0.0008462688000000001,0,0,0
where,0.000765294,0,0,0
those,0.0006227976,0,0,0
being,0.0006041744,0,0,0
while,0.0005801339999999999,0,0,0
right,0.0005686142,0,0,0
world,0.000550316,0,0,0
still,0.000522323,0,0,0
years,0.0004952026,1,0,0
think,0.0004720592,0,0,0
never,0.00046983179999999993,0,0,0
again,0.00046067580000000007,0,0,0
might,0.000456475,0,0,0
under,0.000455683,0,0,0
three,0.0004516528,0,0,0
state,0.0004491520000000001,0,0,0
going,0.00042392760000000004,0,0,0
place,0.00041577380000000003,0,0,0
found,0.0003934374,0,0,0
great,0.0003802658,0,0,0
every,0.0003752554,0,0,0
since,0.0003521618,0,0,0
power,0.0003364674,0,0,0
asked,0.000335144,0,1,0
human,0.0003340218,0,0,0
water,0.0003303872,0,0,0
house,0.00032852959999999997,0,0,0
based,0.00032660539999999997,0,1,0
women,0.000325652,0,0,0
small,0.0003216436,0,0,0
often,0.000318198,0,0,0
order,0.00030720620000000004,0,0,0
point,0.000306212,0,0,0
given,0.0003021832,0,0,0
until,0.0003000674,0,0,0
using,0.00029952,0,0,0
table,0.0002835378,0,0,0
group,0.0002758726,0,0,0
press,0.0002733516,0,0,0
large,0.0002670708,0,0,0
later,0.0002644112,0,0,0
words,0.0002633512,1,0,0
night,0.0002603856,0,0,0
study,0.00025894939999999994,0,0,0
among,0.00025544060000000005,0,0,0
young,0.0002534789999999999,0,0,0
shall,0.00025302040000000004,0,0,0
early,0.00025187500000000004,0,0,0
thing,0.0002504406,0,0,0
woman,0.00024400340000000002,0,0,0
times,0.0002415618,1,0,0
level,0.0002404882,0,0,0
light,0.00023950259999999999,0,0,0
heart,0.000236139,0,0,0
white,0.0002339336,0,0,0
hands,0.00022808300000000002,1,0,0
least,0.0002270318,0,0,0
value,0.0002267028,0,0,0
model,0.0002257798,0,0,0
black,0.0002237494,0,0,0
